ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.71,77,27,23,25,2,9.115131,10.860831,1.7642938,0.18805,0.59554,0.17472,124.179,0.036,4.03,0.576,196448632832
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.71,72,22,23,25,2,12.490148,9.672422,2.0472345,0.17069,0.59071,0.124280006,174.78,0.02,5.61,0.281,213878767616
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,307.04,70,8,30,17,15,28.40333,22.893991,8.937793,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.112,3714263023616
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,243.71,67,8,28,21,10,22.075182,19.398443,7.1965156,0.35029998,0.68081003,0.28456,60.499,0.091,2.14,0.326,587316527104
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,110.55,65,11,18,21,15,29.717743,17.707748,3.6827905,0.12961,0.56664,0.14718,26.787,0.044,2.24,0.744,192100859904
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,654.07,65,8,30,17,10,27.832766,18.229376,7.6172457,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.279,1654506389504
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,405.76,65,8,30,17,10,25.40764,21.532574,7.7118692,0.34390998,0.68586,0.39044,31.539,0.167,0.89,1.108,3015761723392
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,156.01,65,8,26,21,10,23.112593,21.28179,6.9359355,0.31562,0.51189,0.19299999,68.719,0.015,2.72,0.34,364553764864
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,494.14,63,25,6,17,15,15.924589,22.789703,0.0009909298,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1066025418752
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,214.33,58,8,25,15,10,29.892609,22.942993,5.595207,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2300815605760
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,282.34,58,15,13,25,5,21.340893,14.110939,2.7181008,0.12538,0.18526,0.02694,81.618,0.123,3.1,0.38,256273186816
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,77.88,53,8,26,17,2,25.61842,22.473011,10.414549,0.43323,0.61626,0.2734,139.793,0.024,2.65,0.332,335009284096
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,260.83,52,3,27,17,5,33.016453,28.069475,43.48616,1.5202099,0.47325,0.27037,102.63,0.157,0.4,1.116,3833659654144
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,125.12,45,0,18,17,10,45.664234,38.01526,10.012003,0.21847,0.24927,0.0307,63.19,0.056,0.8,0.657,997563170816
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,288.73,42,22,13,0,7,14.414878,12.2904005,2.2736795,0.16134001,0.0,0.3391,,0.025,2.07,1.059,778714218496
